parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2900469,USA,47580,,"Warner Robins, Ga",,,CBSA,192171,73788,0,0,0,0
2900279,USA,39460,,"Punta Gorda, Fl",,,CBSA,189900,62164,0,0,0,0
2900317,USA,40980,,"Saginaw, Mi",,,CBSA,189821,56579,0,0,0,0
2900431,USA,45860,,"Torrington, Ct",,,CBSA,185765,89394,0,0,0,0
2900420,USA,45460,,"Terre Haute, In",,,CBSA,185357,56449,0,0,0,0
2899609,USA,13740,,"Billings, Mt",,,CBSA,185147,72377,0,0,0,0
2900319,USA,41100,,"St. George, Ut",,,CBSA,183297,71976,0,0,0,0
2899759,USA,20100,,"Dover, De",,,CBSA,182400,69278,0,0,0,0
2900025,USA,28740,,"Kingston, Ny",,,CBSA,182153,77197,0,0,0,0
2900287,USA,39820,,"Redding, Ca",,,CBSA,181852,68347,0,0,0,0
2900006,USA,27900,,"Joplin, Mo",,,CBSA,181807,56930,0,0,0,0
2900231,USA,37460,,"Panama City, Fl",,,CBSA,181055,65999,0,0,0,0
2899903,USA,49700,,"Yuba City, Ca",,,CBSA,180806,70176,0,0,0,0
2899627,USA,14540,,"Bowling Green, Ky",,,CBSA,180624,60914,0,0,0,0
2899987,USA,27180,,"Jackson, Tn",,,CBSA,180446,55807,0,0,0,0
2899777,USA,20940,,"El Centro, Ca",,,CBSA,179578,53847,0,0,0,0
2899850,USA,10180,,"Abilene, Tx",,,CBSA,176656,61924,0,0,0,0
2900168,USA,34740,,"Muskegon, Mi",,,CBSA,175947,61347,0,0,0,0
2899981,USA,26980,,"Iowa City, Ia",,,CBSA,175894,72680,0,0,0,0
2887285,USA,12220,,"Auburn-Opelika, Al",,,CBSA,175126,59288,0,0,0,0
2900132,USA,33260,,"Midland, Tx",,,CBSA,174621,89345,0,0,0,0
2899660,USA,17660,,"Coeur D'Alene, Id",,,CBSA,173396,71949,0,0,0,0
2899946,USA,25620,,"Hattiesburg, Ms",,,CBSA,172176,55078,0,0,0,0
